task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-conflicts-rho010-r1-000,issuer8,x08,2,"[""d08""]",1,0.0,0.0035,0.0261,0.0035,0.0227,201,True,0.0302,0.0563,13.7489,nan,eval-conflicts-rho010-r1-000,0.051,0.0249,eval-conflicts-rho010-r1-000-j7gqg,0.0612,0.0102,0.0777,0.0165,kind-worker,0.0742,0,0,0,0,0,0,none,False,nan,nan,,0.6954,11.7882,nan,0.6177,11.0928,11.7848,Succeeded,Complete,False
1,eval-conflicts-rho010-r1-001,issuer9,x09,0,"[""d09""]",1,1.0,1.0009,1.0697,0.0009,0.0688,201,True,1.0721,1.073,14.9092,nan,eval-conflicts-rho010-r1-001,1.0705,0.0008,eval-conflicts-rho010-r1-001-p4w82,1.072,0.0015,1.0753,0.0034,kind-worker5,0.0744,0,0,0,0,0,0,none,False,nan,nan,,1.8084,12.979,nan,0.7331,11.1706,11.9781,Succeeded,Complete,False
2,eval-conflicts-rho010-r1-002,issuer8,x08,2,"[""d08""]",1,2.0,2.0119,2.0257,0.0119,0.0138,201,True,2.0297,2.0542,15.731,nan,eval-conflicts-rho010-r1-002,2.0448,0.0191,eval-conflicts-rho010-r1-002-bsfpq,2.0528,0.008,2.069,0.0162,kind-worker,0.0571,0,0,0,0,0,0,none,False,nan,nan,,2.7006,13.7736,nan,0.6316,11.073,11.7617,Succeeded,Complete,False
3,eval-conflicts-rho010-r1-003,issuer8,x08,2,"[""d08""]",1,3.0,3.001,3.0398,0.001,0.0388,201,True,3.0434,3.0636,17.0818,nan,eval-conflicts-rho010-r1-003,3.0579,0.0182,eval-conflicts-rho010-r1-003-c4v6v,3.0653,0.0073,3.0764,0.0112,kind-worker2,0.0754,0,0,0,0,0,0,none,False,nan,nan,,3.9849,15.1588,nan,0.9085,11.1739,12.1578,Succeeded,Complete,False
4,eval-conflicts-rho010-r1-004,issuer9,x09,0,"[""d09""]",1,4.0,4.0002,4.0086,0.0002,0.0084,201,True,4.0156,4.0368,17.9274,nan,eval-conflicts-rho010-r1-004,4.0294,0.0208,eval-conflicts-rho010-r1-004-rttdt,4.0354,0.006,4.0504,0.015,kind-worker5,0.0503,0,0,0,0,0,0,none,False,nan,nan,,4.812,15.9872,nan,0.7616,11.1752,11.9871,Succeeded,Complete,False
5,eval-conflicts-rho010-r1-005,issuer10,x10,0,"[""d10""]",1,5.0,5.0002,5.0142,0.0002,0.014,201,True,5.0202,5.0413,19.0411,nan,eval-conflicts-rho010-r1-005,5.0347,0.0205,eval-conflicts-rho010-r1-005-skp6s,5.0428,0.008,5.057,0.0142,kind-worker2,0.0568,0,0,0,0,0,0,none,False,nan,nan,,5.9398,17.0744,nan,0.8828,11.1346,12.0742,Succeeded,Complete,False
6,eval-conflicts-rho010-r1-006,issuer4,x04,1,"[""d04""]",1,6.0,6.0003,6.0242,0.0003,0.0239,201,True,6.0292,6.1623,19.9092,nan,eval-conflicts-rho010-r1-006,6.0436,0.0195,eval-conflicts-rho010-r1-006-5qk8h,6.0483,0.0047,6.0638,0.0155,kind-worker5,0.0635,0,0,0,0,0,0,none,False,nan,nan,,6.8181,17.9925,nan,0.7543,11.1744,11.9922,Succeeded,Complete,False
7,eval-conflicts-rho010-r1-007,issuer3,x03,2,"[""d03""]",1,7.0,7.0004,7.0353,0.0004,0.0349,201,True,7.0392,7.0611,21.3036,nan,eval-conflicts-rho010-r1-007,7.0549,0.0196,eval-conflicts-rho010-r1-007-4l8kw,7.0602,0.0054,7.0723,0.012,kind-worker4,0.0719,0,0,0,0,0,0,none,False,nan,nan,,8.1533,19.3639,nan,1.081,11.2107,12.3635,Succeeded,Complete,False
8,eval-conflicts-rho010-r1-008,issuer9,x09,0,"[""d09""]",1,8.0,8.0003,8.0322,0.0003,0.0319,201,True,8.0361,8.0604,21.1256,nan,eval-conflicts-rho010-r1-008,8.0531,0.0209,eval-conflicts-rho010-r1-008-z26fm,8.0585,0.0055,8.0735,0.0149,kind-worker2,0.0732,0,0,0,0,0,0,none,False,nan,nan,,8.9579,20.1341,nan,0.8845,11.1762,12.1338,Succeeded,Complete,False
9,eval-conflicts-rho010-r1-009,issuer8,x08,2,"[""d08""]",1,9.0,9.0001,9.0089,0.0001,0.0087,201,True,9.0141,9.0359,22.0978,nan,eval-conflicts-rho010-r1-009,9.029,0.0202,eval-conflicts-rho010-r1-009-xbs6w,9.0358,0.0068,9.0499,0.0141,kind-worker2,0.0497,0,0,0,0,0,0,none,False,nan,nan,,9.9535,21.1334,nan,0.9036,11.18,12.1333,Succeeded,Complete,False
