t_recv,node,sanitizing,lambda_size,lambda
0.0214,kind-control-plane,False,0,[]
0.0227,kind-worker,False,0,[]
0.0241,kind-worker2,False,0,[]
0.0254,kind-worker3,False,0,[]
0.0267,kind-worker4,False,0,[]
0.0277,kind-worker5,False,0,[]
0.1691,kind-worker2,False,1,"[""x04""]"
0.18,kind-worker2,False,1,"[""x04""]"
1.0783,kind-worker3,False,1,"[""x04""]"
1.0908,kind-worker3,False,1,"[""x04""]"
2.0899,kind-worker2,False,2,"[""x04"", ""x10""]"
2.1014,kind-worker2,False,2,"[""x04"", ""x10""]"
3.1158,kind-worker2,False,3,"[""x04"", ""x05"", ""x10""]"
3.1262,kind-worker2,False,3,"[""x04"", ""x05"", ""x10""]"
4.0718,kind-worker4,False,1,"[""x10""]"
4.0822,kind-worker4,False,1,"[""x10""]"
5.0768,kind-worker3,False,2,"[""x03"", ""x04""]"
5.086,kind-worker3,False,2,"[""x03"", ""x04""]"
6.064,kind-worker2,True,3,"[""x04"", ""x05"", ""x10""]"
6.0866,kind-worker2,True,3,"[""x04"", ""x05"", ""x10""]"
6.1076,kind-worker5,False,1,"[""x06""]"
6.1788,kind-worker5,False,1,"[""x06""]"
6.1847,kind-worker3,True,2,"[""x03"", ""x04""]"
6.2282,kind-worker3,True,2,"[""x03"", ""x04""]"
7.0798,kind-worker,False,1,"[""x03""]"
7.09,kind-worker,False,1,"[""x03""]"
9.0733,kind-worker4,False,2,"[""x05"", ""x10""]"
9.0853,kind-worker4,False,2,"[""x05"", ""x10""]"
11.0707,kind-worker5,False,2,"[""x01"", ""x06""]"
11.0819,kind-worker5,False,2,"[""x01"", ""x06""]"
14.1592,kind-worker,False,2,"[""x03"", ""x08""]"
14.1699,kind-worker,False,2,"[""x03"", ""x08""]"
14.4768,kind-worker4,True,2,"[""x05"", ""x10""]"
14.4984,kind-worker4,True,2,"[""x05"", ""x10""]"
16.0716,kind-worker5,False,3,"[""x01"", ""x06"", ""x07""]"
16.082,kind-worker5,False,3,"[""x01"", ""x06"", ""x07""]"
17.9554,kind-worker5,True,3,"[""x01"", ""x06"", ""x07""]"
17.9679,kind-worker5,True,3,"[""x01"", ""x06"", ""x07""]"
18.7861,kind-worker,True,2,"[""x03"", ""x08""]"
18.8026,kind-worker,True,2,"[""x03"", ""x08""]"
26.217,kind-worker2,True,0,[]
26.2312,kind-worker2,False,0,[]
26.2395,kind-worker2,False,0,[]
26.2487,kind-worker2,False,1,"[""x02""]"
26.2585,kind-worker2,False,1,"[""x02""]"
26.2684,kind-worker2,False,1,"[""x02""]"
33.3145,kind-worker,True,2,"[""x03"", ""x08""]"
34.6797,kind-worker4,True,0,[]
34.6944,kind-worker4,False,0,[]
34.7044,kind-worker4,False,0,[]
34.7177,kind-worker4,False,0,[]
34.8112,kind-worker4,False,1,"[""x03""]"
34.8234,kind-worker4,False,1,"[""x03""]"
35.0258,kind-worker4,False,2,"[""x03"", ""x08""]"
35.0367,kind-worker4,False,2,"[""x03"", ""x08""]"
38.9855,kind-worker,True,0,[]
38.9994,kind-worker,False,0,[]
39.0085,kind-worker,False,0,[]
39.0185,kind-worker,False,0,[]
39.0878,kind-worker,False,1,"[""x07""]"
39.0979,kind-worker,False,1,"[""x07""]"
39.1943,kind-worker,False,2,"[""x01"", ""x07""]"
39.2048,kind-worker,False,2,"[""x01"", ""x07""]"
39.3283,kind-worker,False,3,"[""x01"", ""x05"", ""x07""]"
39.3382,kind-worker,False,3,"[""x01"", ""x05"", ""x07""]"
44.1538,kind-worker2,False,2,"[""x02"", ""x04""]"
44.1631,kind-worker2,False,2,"[""x02"", ""x04""]"
46.3059,kind-worker2,True,2,"[""x02"", ""x04""]"
46.3202,kind-worker2,True,2,"[""x02"", ""x04""]"
46.6151,kind-worker3,True,0,[]
46.6293,kind-worker3,False,0,[]
46.6394,kind-worker3,False,0,[]
46.6516,kind-worker3,False,0,[]
46.7184,kind-worker3,False,1,"[""x09""]"
