t_recv,kind,type,name,detail
0.0232,Node,ADDED,kind-control-plane,taints=1
0.0267,Node,ADDED,kind-worker,taints=0
0.028,Node,ADDED,kind-worker2,taints=0
0.0291,Node,ADDED,kind-worker3,taints=0
0.0303,Node,ADDED,kind-worker4,taints=0
0.0313,Node,ADDED,kind-worker5,taints=0
0.0426,TaskRequest,ADDED,eval-sanitize-1-r4-000,phase=None job=None
0.0503,TaskRequest,MODIFIED,eval-sanitize-1-r4-000,phase=Pending job=None
0.0665,Job,ADDED,eval-sanitize-1-r4-000,
0.0718,TaskRequest,MODIFIED,eval-sanitize-1-r4-000,phase=Scheduled job=None
0.0751,Pod,ADDED,eval-sanitize-1-r4-000-fcgd4,phase=Pending node=None
0.0787,Job,MODIFIED,eval-sanitize-1-r4-000,
0.0811,Event,ADDED,eval-sanitize-1-r4-000.18d3d05cdb43a74e,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-000-fcgd4
0.0821,TaskRequest,MODIFIED,eval-sanitize-1-r4-000,phase=Scheduled job=None
0.0916,Pod,MODIFIED,eval-sanitize-1-r4-000-fcgd4,phase=Pending node=kind-worker2
0.0965,Event,ADDED,eval-sanitize-1-r4-000-fcgd4.18d3d05cdc429747,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-000-fcgd4 to kind-worker2
0.1005,Pod,MODIFIED,eval-sanitize-1-r4-000-fcgd4,phase=Pending node=kind-worker2
0.1024,Node,MODIFIED,kind-worker2,taints=0
0.114,Node,MODIFIED,kind-worker2,taints=0
0.1996,Node,MODIFIED,kind-worker2,taints=1
0.2104,Node,MODIFIED,kind-worker2,taints=1
0.5325,Event,ADDED,eval-sanitize-1-r4-000-fcgd4.18d3d05cf634e0b4,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5516,Event,ADDED,eval-sanitize-1-r4-000-fcgd4.18d3d05cf7726866,reason=Created count=1 msg=Created container: task
0.6133,Event,ADDED,eval-sanitize-1-r4-000-fcgd4.18d3d05cfb158e6e,reason=Started count=1 msg=Started container task
1.0163,TaskRequest,ADDED,eval-sanitize-1-r4-001,phase=None job=None
1.0209,TaskRequest,MODIFIED,eval-sanitize-1-r4-001,phase=Pending job=None
1.0357,Job,ADDED,eval-sanitize-1-r4-001,
1.0388,TaskRequest,MODIFIED,eval-sanitize-1-r4-001,phase=Scheduled job=None
1.0424,Pod,ADDED,eval-sanitize-1-r4-001-c9gq9,phase=Pending node=None
1.045,Job,MODIFIED,eval-sanitize-1-r4-001,
1.0463,Event,ADDED,eval-sanitize-1-r4-001.18d3d05d14ed1f1c,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-001-c9gq9
1.0465,TaskRequest,MODIFIED,eval-sanitize-1-r4-001,phase=Scheduled job=None
1.0508,Pod,MODIFIED,eval-sanitize-1-r4-001-c9gq9,phase=Pending node=kind-worker
1.0542,Event,ADDED,eval-sanitize-1-r4-001-c9gq9.18d3d05d156925a1,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-001-c9gq9 to kind-worker
1.0609,Node,MODIFIED,kind-worker,taints=0
1.063,Pod,MODIFIED,eval-sanitize-1-r4-001-c9gq9,phase=Pending node=kind-worker
1.0712,Node,MODIFIED,kind-worker,taints=0
1.0799,Job,MODIFIED,eval-sanitize-1-r4-000,
1.0882,Job,MODIFIED,eval-sanitize-1-r4-000,
1.2113,Node,MODIFIED,kind-worker,taints=1
1.2238,Node,MODIFIED,kind-worker,taints=1
1.2606,Pod,MODIFIED,eval-sanitize-1-r4-000-fcgd4,phase=Running node=kind-worker2
1.4965,Event,ADDED,eval-sanitize-1-r4-001-c9gq9.18d3d05d2fc336c4,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
1.514,Event,ADDED,eval-sanitize-1-r4-001-c9gq9.18d3d05d30dd38ea,reason=Created count=1 msg=Created container: task
1.5449,Event,ADDED,eval-sanitize-1-r4-001-c9gq9.18d3d05d32ae20e3,reason=Started count=1 msg=Started container task
2.0249,TaskRequest,ADDED,eval-sanitize-1-r4-002,phase=None job=None
2.0296,TaskRequest,MODIFIED,eval-sanitize-1-r4-002,phase=Pending job=None
2.0456,Job,ADDED,eval-sanitize-1-r4-002,
2.0474,Job,MODIFIED,eval-sanitize-1-r4-001,
2.0494,TaskRequest,MODIFIED,eval-sanitize-1-r4-002,phase=Scheduled job=None
2.0534,Pod,ADDED,eval-sanitize-1-r4-002-wdnns,phase=Pending node=None
2.0552,Job,MODIFIED,eval-sanitize-1-r4-002,
2.0576,Event,ADDED,eval-sanitize-1-r4-002.18d3d05d512567ca,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-002-wdnns
2.0616,Job,MODIFIED,eval-sanitize-1-r4-001,
2.0646,Pod,MODIFIED,eval-sanitize-1-r4-002-wdnns,phase=Pending node=kind-worker4
2.0647,TaskRequest,MODIFIED,eval-sanitize-1-r4-002,phase=Scheduled job=None
2.0674,Event,ADDED,eval-sanitize-1-r4-002-wdnns.18d3d05d51c00c48,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-002-wdnns to kind-worker4
2.0809,Node,MODIFIED,kind-worker4,taints=0
2.0829,Pod,MODIFIED,eval-sanitize-1-r4-002-wdnns,phase=Pending node=kind-worker4
2.0859,Job,MODIFIED,eval-sanitize-1-r4-000,
2.0915,Node,MODIFIED,kind-worker4,taints=0
2.0957,Job,MODIFIED,eval-sanitize-1-r4-000,
2.1782,Pod,MODIFIED,eval-sanitize-1-r4-001-c9gq9,phase=Running node=kind-worker
2.4438,Node,MODIFIED,kind-worker4,taints=1
2.5334,Event,ADDED,eval-sanitize-1-r4-002-wdnns.18d3d05d6d7e5e13,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
2.543,Node,MODIFIED,kind-worker4,taints=1
2.5527,Event,ADDED,eval-sanitize-1-r4-002-wdnns.18d3d05d6eaeabf5,reason=Created count=1 msg=Created container: task
2.6369,Event,ADDED,eval-sanitize-1-r4-002-wdnns.18d3d05d739f372a,reason=Started count=1 msg=Started container task
3.0181,TaskRequest,ADDED,eval-sanitize-1-r4-003,phase=None job=None
3.0235,TaskRequest,MODIFIED,eval-sanitize-1-r4-003,phase=Pending job=None
3.039,Job,ADDED,eval-sanitize-1-r4-003,
3.0463,Pod,ADDED,eval-sanitize-1-r4-003-n2bz4,phase=Pending node=None
3.0464,TaskRequest,MODIFIED,eval-sanitize-1-r4-003,phase=Scheduled job=None
3.0495,Job,MODIFIED,eval-sanitize-1-r4-003,
3.0538,Job,MODIFIED,eval-sanitize-1-r4-001,
3.0552,Event,ADDED,eval-sanitize-1-r4-003.18d3d05d8c508875,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-003-n2bz4
3.056,Pod,MODIFIED,eval-sanitize-1-r4-003-n2bz4,phase=Pending node=kind-worker5
3.0565,TaskRequest,MODIFIED,eval-sanitize-1-r4-003,phase=Scheduled job=None
3.0593,Job,MODIFIED,eval-sanitize-1-r4-002,
3.0598,Event,ADDED,eval-sanitize-1-r4-003-n2bz4.18d3d05d8ce33cf9,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-003-n2bz4 to kind-worker5
3.0629,Job,MODIFIED,eval-sanitize-1-r4-001,
3.0694,Pod,MODIFIED,eval-sanitize-1-r4-003-n2bz4,phase=Pending node=kind-worker5
3.0716,Node,MODIFIED,kind-worker5,taints=0
3.0723,Job,MODIFIED,eval-sanitize-1-r4-002,
3.0824,Node,MODIFIED,kind-worker5,taints=0
3.2266,Node,MODIFIED,kind-worker5,taints=1
3.2405,Node,MODIFIED,kind-worker5,taints=1
3.3163,Pod,MODIFIED,eval-sanitize-1-r4-002-wdnns,phase=Running node=kind-worker4
3.4824,Event,ADDED,eval-sanitize-1-r4-003-n2bz4.18d3d05da602fbde,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
3.5001,Event,ADDED,eval-sanitize-1-r4-003-n2bz4.18d3d05da71cfdd6,reason=Created count=1 msg=Created container: task
3.5369,Event,ADDED,eval-sanitize-1-r4-003-n2bz4.18d3d05da9365665,reason=Started count=1 msg=Started container task
4.0172,TaskRequest,ADDED,eval-sanitize-1-r4-004,phase=None job=None
4.0208,TaskRequest,MODIFIED,eval-sanitize-1-r4-004,phase=Pending job=None
4.0374,Job,ADDED,eval-sanitize-1-r4-004,
4.0402,TaskRequest,MODIFIED,eval-sanitize-1-r4-004,phase=Scheduled job=None
4.0438,Pod,ADDED,eval-sanitize-1-r4-004-nn8gc,phase=Pending node=None
4.0457,Job,MODIFIED,eval-sanitize-1-r4-004,
4.0495,Event,ADDED,eval-sanitize-1-r4-004.18d3d05dc7c6d889,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-004-nn8gc
4.0497,TaskRequest,MODIFIED,eval-sanitize-1-r4-004,phase=Scheduled job=None
4.0506,Pod,MODIFIED,eval-sanitize-1-r4-004-nn8gc,phase=Pending node=kind-worker3
4.0529,Job,MODIFIED,eval-sanitize-1-r4-003,
4.0535,Event,ADDED,eval-sanitize-1-r4-004-nn8gc.18d3d05dc822d5ea,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-004-nn8gc to kind-worker3
4.0623,Node,MODIFIED,kind-worker3,taints=0
4.0675,Pod,MODIFIED,eval-sanitize-1-r4-004-nn8gc,phase=Pending node=kind-worker3
4.0683,Job,MODIFIED,eval-sanitize-1-r4-003,
4.0692,Job,MODIFIED,eval-sanitize-1-r4-002,
4.0733,Node,MODIFIED,kind-worker3,taints=0
4.0772,Job,MODIFIED,eval-sanitize-1-r4-002,
4.1582,Node,MODIFIED,kind-worker3,taints=1
4.1713,Node,MODIFIED,kind-worker3,taints=1
4.2669,Pod,MODIFIED,eval-sanitize-1-r4-003-n2bz4,phase=Running node=kind-worker5
4.4693,Event,ADDED,eval-sanitize-1-r4-004-nn8gc.18d3d05de0e35efd,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
4.4896,Event,ADDED,eval-sanitize-1-r4-004-nn8gc.18d3d05de213c95a,reason=Created count=1 msg=Created container: task
4.5731,Event,ADDED,eval-sanitize-1-r4-004-nn8gc.18d3d05de700703c,reason=Started count=1 msg=Started container task
5.0177,TaskRequest,ADDED,eval-sanitize-1-r4-005,phase=None job=None
5.0215,TaskRequest,MODIFIED,eval-sanitize-1-r4-005,phase=Pending job=None
5.0376,Job,ADDED,eval-sanitize-1-r4-005,
5.0442,Pod,ADDED,eval-sanitize-1-r4-005-tvn85,phase=Pending node=None
5.0443,TaskRequest,MODIFIED,eval-sanitize-1-r4-005,phase=Scheduled job=None
5.0478,Job,MODIFIED,eval-sanitize-1-r4-005,
5.0502,Event,ADDED,eval-sanitize-1-r4-005.18d3d05e0368e5f0,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-005-tvn85
5.0511,Job,MODIFIED,eval-sanitize-1-r4-004,
5.0513,Event,ADDED,eval-sanitize-1-r4-005-tvn85.18d3d05e03768230,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
5.0522,Pod,MODIFIED,eval-sanitize-1-r4-005-tvn85,phase=Pending node=None
5.0523,TaskRequest,MODIFIED,eval-sanitize-1-r4-005,phase=Scheduled job=None
5.0576,Job,MODIFIED,eval-sanitize-1-r4-003,
5.0598,Job,MODIFIED,eval-sanitize-1-r4-004,
5.0652,Job,MODIFIED,eval-sanitize-1-r4-003,
5.2695,Pod,MODIFIED,eval-sanitize-1-r4-004-nn8gc,phase=Running node=kind-worker3
6.0165,TaskRequest,ADDED,eval-sanitize-1-r4-006,phase=None job=None
6.0202,TaskRequest,MODIFIED,eval-sanitize-1-r4-006,phase=Pending job=None
6.0368,Job,ADDED,eval-sanitize-1-r4-006,
6.0424,TaskRequest,MODIFIED,eval-sanitize-1-r4-006,phase=Scheduled job=None
6.045,Pod,ADDED,eval-sanitize-1-r4-006-g2dtg,phase=Pending node=None
6.0466,Job,MODIFIED,eval-sanitize-1-r4-006,
6.0511,Event,ADDED,eval-sanitize-1-r4-006.18d3d05e3f10b932,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-006-g2dtg
6.0513,Event,ADDED,eval-sanitize-1-r4-006-g2dtg.18d3d05e3f1af408,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
6.0521,Job,MODIFIED,eval-sanitize-1-r4-005,
6.053,Pod,MODIFIED,eval-sanitize-1-r4-006-g2dtg,phase=Pending node=None
6.0531,TaskRequest,MODIFIED,eval-sanitize-1-r4-006,phase=Scheduled job=None
6.0551,Job,MODIFIED,eval-sanitize-1-r4-004,
6.061,Job,MODIFIED,eval-sanitize-1-r4-005,
6.0629,Job,MODIFIED,eval-sanitize-1-r4-004,
7.0169,TaskRequest,ADDED,eval-sanitize-1-r4-007,phase=None job=None
7.0211,TaskRequest,MODIFIED,eval-sanitize-1-r4-007,phase=Pending job=None
7.0379,Job,ADDED,eval-sanitize-1-r4-007,
7.0425,TaskRequest,MODIFIED,eval-sanitize-1-r4-007,phase=Scheduled job=None
7.0459,Pod,ADDED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=None
7.0478,Job,MODIFIED,eval-sanitize-1-r4-007,
7.0498,Job,MODIFIED,eval-sanitize-1-r4-006,
7.0514,TaskRequest,MODIFIED,eval-sanitize-1-r4-007,phase=Scheduled job=None
7.0522,Event,ADDED,eval-sanitize-1-r4-007.18d3d05e7ab108e3,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-007-xfc55
7.0526,Event,ADDED,eval-sanitize-1-r4-007-xfc55.18d3d05e7ac00948,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
7.0535,Pod,MODIFIED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=None
7.0595,Job,MODIFIED,eval-sanitize-1-r4-006,
8.0099,TaskRequest,ADDED,eval-sanitize-1-r4-008,phase=None job=None
8.0614,TaskRequest,MODIFIED,eval-sanitize-1-r4-008,phase=Pending job=None
8.0629,Job,MODIFIED,eval-sanitize-1-r4-007,
8.0762,Job,ADDED,eval-sanitize-1-r4-008,
8.0834,Pod,ADDED,eval-sanitize-1-r4-008-b6mpq,phase=Pending node=None
8.0835,TaskRequest,MODIFIED,eval-sanitize-1-r4-008,phase=Scheduled job=None
8.087,Job,MODIFIED,eval-sanitize-1-r4-008,
8.0891,Event,ADDED,eval-sanitize-1-r4-008.18d3d05eb8907716,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-008-b6mpq
