t_recv,node,sanitizing,lambda_size,lambda
0.031,kind-control-plane,False,0,[]
0.0363,kind-worker,False,0,[]
0.0379,kind-worker2,False,0,[]
0.04,kind-worker3,False,0,[]
0.0422,kind-worker4,False,0,[]
0.0437,kind-worker5,False,0,[]
0.1681,kind-worker,False,1,"[""x01""]"
0.1811,kind-worker,False,1,"[""x01""]"
1.1628,kind-worker,False,2,"[""x01"", ""x08""]"
1.1741,kind-worker,False,2,"[""x01"", ""x08""]"
2.1577,kind-worker5,False,1,"[""x04""]"
2.1695,kind-worker5,False,1,"[""x04""]"
3.1083,kind-worker3,False,1,"[""x06""]"
3.1224,kind-worker3,False,1,"[""x06""]"
5.1148,kind-worker,False,3,"[""x01"", ""x02"", ""x08""]"
5.1276,kind-worker,False,3,"[""x01"", ""x02"", ""x08""]"
6.2398,kind-worker5,False,2,"[""x04"", ""x10""]"
6.2442,kind-worker5,False,2,"[""x04"", ""x10""]"
7.6367,kind-worker3,True,1,"[""x06""]"
7.67,kind-worker3,True,1,"[""x06""]"
8.1046,kind-worker2,False,1,"[""x05""]"
8.1152,kind-worker2,False,1,"[""x05""]"
8.3914,kind-worker5,True,2,"[""x04"", ""x10""]"
8.4119,kind-worker5,True,2,"[""x04"", ""x10""]"
9.1088,kind-worker2,False,2,"[""x05"", ""x10""]"
9.1155,kind-worker2,False,2,"[""x05"", ""x10""]"
11.1204,kind-worker4,False,1,"[""x04""]"
11.1326,kind-worker4,False,1,"[""x04""]"
11.44,kind-worker2,True,2,"[""x05"", ""x10""]"
11.4589,kind-worker2,True,2,"[""x05"", ""x10""]"
12.2427,kind-worker,True,3,"[""x01"", ""x02"", ""x08""]"
12.2795,kind-worker,True,3,"[""x01"", ""x02"", ""x08""]"
16.0956,kind-worker4,False,2,"[""x01"", ""x04""]"
16.1098,kind-worker4,False,2,"[""x01"", ""x04""]"
25.9541,kind-worker3,True,1,"[""x06""]"
28.6859,kind-worker5,True,0,[]
28.7095,kind-worker5,True,0,[]
28.8792,kind-worker5,False,0,[]
28.905,kind-worker5,False,0,[]
28.9361,kind-worker5,False,1,"[""x05""]"
28.9483,kind-worker5,False,1,"[""x05""]"
29.023,kind-worker5,False,2,"[""x05"", ""x10""]"
29.0366,kind-worker5,False,2,"[""x05"", ""x10""]"
29.5593,kind-worker4,True,2,"[""x01"", ""x04""]"
29.6145,kind-worker4,True,2,"[""x01"", ""x04""]"
48.0846,kind-worker3,True,0,[]
48.2205,kind-worker3,True,0,[]
48.2353,kind-worker3,False,0,[]
48.2515,kind-worker3,False,0,[]
48.2952,kind-worker3,False,1,"[""x08""]"
48.3087,kind-worker3,False,1,"[""x08""]"
48.4425,kind-worker3,False,2,"[""x01"", ""x08""]"
48.4521,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
48.4628,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
48.477,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
48.9089,kind-worker5,True,2,"[""x05"", ""x10""]"
48.9283,kind-worker5,True,2,"[""x05"", ""x10""]"
51.8308,kind-worker2,True,0,[]
51.8751,kind-worker2,False,0,[]
51.906,kind-worker2,False,1,"[""x05""]"
51.919,kind-worker2,False,1,"[""x05""]"
51.9954,kind-worker2,False,1,"[""x05""]"
52.1242,kind-worker2,False,2,"[""x05"", ""x09""]"
52.1365,kind-worker2,False,2,"[""x05"", ""x09""]"
52.2376,kind-worker4,True,2,"[""x01"", ""x04""]"
52.6672,kind-worker,True,0,[]
52.6704,kind-worker,True,0,[]
52.7242,kind-worker,False,0,[]
52.7425,kind-worker,False,0,[]
52.8787,kind-worker,False,1,"[""x06""]"
52.8948,kind-worker,False,1,"[""x06""]"
52.9059,kind-worker,False,2,"[""x06"", ""x07""]"
52.9176,kind-worker,False,2,"[""x06"", ""x07""]"
53.327,kind-worker,False,3,"[""x06"", ""x07"", ""x10""]"
53.3492,kind-worker,False,3,"[""x06"", ""x07"", ""x10""]"
60.0356,kind-control-plane,False,0,[]
60.0454,kind-worker,False,3,"[""x06"", ""x07"", ""x10""]"
60.0611,kind-worker2,False,2,"[""x05"", ""x09""]"
60.0864,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
60.0896,kind-worker4,True,2,"[""x01"", ""x04""]"
60.1013,kind-worker5,True,2,"[""x05"", ""x10""]"
68.2768,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
68.2907,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
69.3911,kind-worker5,True,0,[]
69.4778,kind-worker5,False,0,[]
69.4879,kind-worker5,False,0,[]
69.5013,kind-worker5,False,0,[]
69.588,kind-worker5,False,1,"[""x04""]"
69.6029,kind-worker5,False,1,"[""x04""]"
70.1037,kind-worker5,False,2,"[""x01"", ""x04""]"
70.1239,kind-worker5,False,2,"[""x01"", ""x04""]"
70.4766,kind-worker4,True,0,[]
70.5107,kind-worker4,False,0,[]
70.523,kind-worker4,False,0,[]
70.573,kind-worker4,False,0,[]
71.1376,kind-worker4,False,1,"[""x03""]"
71.1549,kind-worker4,False,1,"[""x03""]"
71.9797,kind-worker2,True,2,"[""x05"", ""x09""]"
71.9975,kind-worker2,True,2,"[""x05"", ""x09""]"
72.7494,kind-worker,True,3,"[""x06"", ""x07"", ""x10""]"
72.7666,kind-worker,True,3,"[""x06"", ""x07"", ""x10""]"
74.1294,kind-worker4,False,2,"[""x03"", ""x07""]"
74.1492,kind-worker4,False,2,"[""x03"", ""x07""]"
80.2345,kind-worker5,False,3,"[""x01"", ""x04"", ""x09""]"
80.247,kind-worker5,False,3,"[""x01"", ""x04"", ""x09""]"
86.2015,kind-worker4,False,3,"[""x03"", ""x06"", ""x07""]"
86.2132,kind-worker4,False,3,"[""x03"", ""x06"", ""x07""]"
89.5359,kind-worker5,True,3,"[""x01"", ""x04"", ""x09""]"
89.5529,kind-worker5,True,3,"[""x01"", ""x04"", ""x09""]"
90.5957,kind-worker4,True,3,"[""x03"", ""x06"", ""x07""]"
90.6082,kind-worker4,True,3,"[""x03"", ""x06"", ""x07""]"
92.5809,kind-worker2,True,0,[]
92.6776,kind-worker2,False,0,[]
92.7074,kind-worker2,False,0,[]
92.7374,kind-worker2,False,0,[]
92.9424,kind-worker2,False,1,"[""x05""]"
92.9595,kind-worker2,False,1,"[""x05""]"
92.9909,kind-worker2,False,2,"[""x05"", ""x10""]"
93.0059,kind-worker2,False,2,"[""x05"", ""x10""]"
93.3277,kind-worker,True,0,[]
93.4154,kind-worker,False,0,[]
93.4321,kind-worker,False,0,[]
93.4447,kind-worker,False,0,[]
93.5052,kind-worker,False,1,"[""x04""]"
93.5184,kind-worker,False,1,"[""x04""]"
93.5356,kind-worker,False,2,"[""x04"", ""x09""]"
93.5483,kind-worker,False,2,"[""x04"", ""x09""]"
93.6763,kind-worker,False,3,"[""x01"", ""x04"", ""x09""]"
93.6945,kind-worker,False,3,"[""x01"", ""x04"", ""x09""]"
108.8187,kind-worker3,True,0,[]
108.8352,kind-worker3,False,0,[]
108.8458,kind-worker3,False,0,[]
108.916,kind-worker3,False,0,[]
108.9464,kind-worker3,False,1,"[""x02""]"
108.9574,kind-worker3,False,1,"[""x02""]"
109.0858,kind-worker3,False,2,"[""x02"", ""x08""]"
109.0965,kind-worker3,False,2,"[""x02"", ""x08""]"
109.1905,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
109.2043,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
112.6889,kind-worker2,True,2,"[""x05"", ""x10""]"
112.703,kind-worker2,True,2,"[""x05"", ""x10""]"
113.4407,kind-worker,True,3,"[""x01"", ""x04"", ""x09""]"
113.4595,kind-worker,True,3,"[""x01"", ""x04"", ""x09""]"
120.0248,kind-control-plane,False,0,[]
120.0262,kind-worker,True,3,"[""x01"", ""x04"", ""x09""]"
120.0278,kind-worker2,True,2,"[""x05"", ""x10""]"
120.0306,kind-worker3,False,3,"[""x01"", ""x02"", ""x08""]"
120.0322,kind-worker4,True,3,"[""x03"", ""x06"", ""x07""]"
120.0342,kind-worker5,True,3,"[""x01"", ""x04"", ""x09""]"
128.9212,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
128.9371,kind-worker3,True,3,"[""x01"", ""x02"", ""x08""]"
129.9577,kind-worker5,True,0,[]
130.0097,kind-worker5,True,0,[]
130.0194,kind-worker5,False,0,[]
130.0419,kind-worker5,False,0,[]
130.0592,kind-worker5,False,1,"[""x07""]"
130.1424,kind-worker5,False,1,"[""x07""]"
130.1681,kind-worker5,False,2,"[""x03"", ""x07""]"
130.1776,kind-worker5,False,2,"[""x03"", ""x07""]"
130.3362,kind-worker5,False,3,"[""x03"", ""x06"", ""x07""]"
130.3495,kind-worker5,False,3,"[""x03"", ""x06"", ""x07""]"
131.1058,kind-worker4,True,0,[]
131.1951,kind-worker4,True,0,[]
131.2121,kind-worker5,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
131.2146,kind-worker4,False,0,[]
131.2272,kind-worker5,False,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
131.2305,kind-worker4,False,0,[]
131.2998,kind-worker4,False,1,"[""x09""]"
131.3143,kind-worker4,False,1,"[""x09""]"
131.3282,kind-worker4,False,2,"[""x04"", ""x09""]"
131.3398,kind-worker4,False,2,"[""x04"", ""x09""]"
132.9928,kind-worker2,True,0,[]
133.0132,kind-worker2,False,0,[]
133.1,kind-worker2,False,1,"[""x10""]"
133.1954,kind-worker2,False,2,"[""x05"", ""x10""]"
133.2683,kind-worker2,False,2,"[""x05"", ""x10""]"
133.2802,kind-worker2,False,2,"[""x05"", ""x10""]"
134.3743,kind-worker4,False,3,"[""x01"", ""x04"", ""x09""]"
134.3873,kind-worker4,False,3,"[""x01"", ""x04"", ""x09""]"
149.3114,kind-worker3,True,0,[]
149.3283,kind-worker3,False,0,[]
149.339,kind-worker3,False,0,[]
149.3518,kind-worker3,False,0,[]
149.5048,kind-worker3,False,1,"[""x08""]"
149.5175,kind-worker3,False,1,"[""x08""]"
149.8412,kind-worker3,False,2,"[""x02"", ""x08""]"
149.8539,kind-worker3,False,2,"[""x02"", ""x08""]"
150.0551,kind-worker5,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
150.1863,kind-worker5,True,4,"[""x01"", ""x03"", ""x06"", ""x07""]"
151.2431,kind-worker4,True,3,"[""x01"", ""x04"", ""x09""]"
151.2602,kind-worker4,True,3,"[""x01"", ""x04"", ""x09""]"
153.2816,kind-worker2,True,2,"[""x05"", ""x10""]"
153.3039,kind-worker2,True,2,"[""x05"", ""x10""]"
153.8181,kind-worker,True,0,[]
153.858,kind-worker,True,0,[]
153.8684,kind-worker,False,0,[]
153.9136,kind-worker,False,1,"[""x04""]"
153.93,kind-worker,False,1,"[""x04""]"
153.952,kind-worker,False,1,"[""x04""]"
156.5795,kind-worker,False,2,"[""x04"", ""x09""]"
156.5934,kind-worker,False,2,"[""x04"", ""x09""]"
161.3593,kind-worker,False,3,"[""x01"", ""x04"", ""x09""]"
161.3715,kind-worker,False,3,"[""x01"", ""x04"", ""x09""]"
169.3902,kind-worker3,True,2,"[""x02"", ""x08""]"
169.409,kind-worker3,True,2,"[""x02"", ""x08""]"
170.8202,kind-worker5,True,0,[]
170.8392,kind-worker5,True,0,[]
170.852,kind-worker5,False,0,[]
170.9643,kind-worker5,False,0,[]
170.9873,kind-worker5,False,1,"[""x07""]"
171.0042,kind-worker5,False,1,"[""x07""]"
171.0302,kind-worker5,False,2,"[""x03"", ""x07""]"
171.0419,kind-worker5,False,2,"[""x03"", ""x07""]"
171.2332,kind-worker5,False,3,"[""x03"", ""x06"", ""x07""]"
171.2577,kind-worker5,False,3,"[""x03"", ""x06"", ""x07""]"
171.6126,kind-worker4,True,0,[]
171.6377,kind-worker4,False,0,[]
171.6604,kind-worker4,False,0,[]
171.714,kind-worker4,False,0,[]
171.7449,kind-worker4,False,1,"[""x05""]"
171.7569,kind-worker4,False,1,"[""x05""]"
173.8445,kind-worker2,True,0,[]
173.9149,kind-worker2,False,0,[]
173.9283,kind-worker2,False,0,[]
173.9535,kind-worker2,False,1,"[""x02""]"
174.1163,kind-worker,True,3,"[""x01"", ""x04"", ""x09""]"
174.1295,kind-worker2,False,1,"[""x02""]"
174.1433,kind-worker,True,3,"[""x01"", ""x04"", ""x09""]"
