task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
0,eval-sanitize-30-r1-000,issuer1,x01,2,"[""d01""]",1,0.0,0.0031,0.0435,0.0031,0.0404,201,True,0.0516,0.0738,13.9401,nan,eval-sanitize-30-r1-000,0.0692,0.0257,eval-sanitize-30-r1-000-2b7pp,0.0781,0.0089,0.0923,0.0142,kind-worker5,0.0892,0,0,0,0,0,0,none,False,nan,nan,,0.9496,12.0411,nan,0.8573,11.0915,12.038,Succeeded,Complete,False
1,eval-sanitize-30-r1-001,issuer5,x05,7,"[""d05""]",1,1.0,1.0003,1.0134,0.0003,0.0131,201,True,1.017,1.0403,14.9654,nan,eval-sanitize-30-r1-001,1.0325,0.0191,eval-sanitize-30-r1-001-xlx7k,1.0388,0.0063,1.0558,0.017,kind-worker3,0.0555,0,0,0,0,0,0,none,False,nan,nan,,1.9124,13.2421,nan,0.8566,11.3297,12.2418,Succeeded,Complete,False
2,eval-sanitize-30-r1-002,issuer3,x03,5,"[""d03""]",1,2.0,2.0002,2.0134,0.0002,0.0131,201,True,2.0195,2.0427,15.1287,nan,eval-sanitize-30-r1-002,2.0356,0.0222,eval-sanitize-30-r1-002-n5ghr,2.0425,0.007,2.061,0.0185,kind-worker,0.0608,0,0,0,0,0,0,none,False,nan,nan,,2.974,14.2774,nan,0.9129,11.3035,12.2772,Succeeded,Complete,False
3,eval-sanitize-30-r1-003,issuer8,x08,4,"[""d08""]",1,3.0,3.0002,3.0126,0.0002,0.0124,201,True,3.0165,3.0379,17.1756,nan,eval-sanitize-30-r1-003,3.0311,0.0186,eval-sanitize-30-r1-003-hkb86,3.0364,0.0052,3.057,0.0207,kind-worker5,0.0568,0,0,0,0,0,0,none,False,nan,nan,,3.8812,14.9836,nan,0.8242,11.1024,11.9835,Succeeded,Complete,False
4,eval-sanitize-30-r1-004,issuer6,x06,5,"[""d06""]",1,4.0,4.0003,4.0143,0.0003,0.014,201,True,4.0181,4.0444,17.1813,nan,eval-sanitize-30-r1-004,4.0352,0.021,eval-sanitize-30-r1-004-87sk5,4.0442,0.0089,4.0728,0.0286,kind-worker3,0.0725,0,0,0,0,0,0,none,False,nan,nan,,4.9169,16.1471,nan,0.844,11.2302,12.1468,Succeeded,Complete,False
5,eval-sanitize-30-r1-005,issuer2,x02,5,"[""d02""]",1,5.0,5.0003,5.0131,0.0003,0.0128,201,True,5.0177,5.0408,19.09,nan,eval-sanitize-30-r1-005,5.032,0.019,eval-sanitize-30-r1-005-jgxt5,5.0391,0.007,5.0607,0.0217,kind-worker2,0.0604,0,0,0,0,0,0,none,False,nan,nan,,5.9066,17.1812,nan,0.8458,11.2746,12.1809,Succeeded,Complete,False
6,eval-sanitize-30-r1-006,issuer8,x08,4,"[""d08""]",1,6.0,6.0005,6.0084,0.0005,0.0079,201,True,6.0124,6.1016,20.0915,nan,eval-sanitize-30-r1-006,6.0952,0.0868,eval-sanitize-30-r1-006-z6wqt,6.1026,0.0073,6.1282,0.0257,kind-worker5,0.1278,0,0,0,0,0,0,none,False,nan,nan,,6.8877,18.0682,nan,0.7595,11.1805,12.0677,Succeeded,Complete,False
7,eval-sanitize-30-r1-007,issuer10,x10,4,"[""d10""]",1,7.0,7.0003,7.0139,0.0003,0.0136,201,True,7.0179,7.0431,21.0926,nan,eval-sanitize-30-r1-007,7.0346,0.0207,eval-sanitize-30-r1-007-cwpf6,7.0422,0.0076,7.0674,0.0253,kind-worker4,0.0671,0,0,0,0,0,0,none,False,nan,nan,,7.9519,19.2273,nan,0.8845,11.2754,12.227,Succeeded,Complete,False
8,eval-sanitize-30-r1-008,issuer8,x08,4,"[""d08""]",1,8.0,8.0005,8.0119,0.0005,0.0115,201,True,8.0157,8.0375,22.1082,nan,eval-sanitize-30-r1-008,8.0327,0.0208,eval-sanitize-30-r1-008-42nq5,8.0405,0.0078,8.1169,0.0764,kind-worker5,0.1164,0,0,0,0,0,0,none,False,nan,nan,,8.8927,20.1072,nan,0.7758,11.2145,12.1067,Succeeded,Complete,False
9,eval-sanitize-30-r1-009,issuer10,x10,4,"[""d10""]",1,9.0,9.0003,9.0085,0.0003,0.0083,201,True,9.0135,9.0381,22.1132,nan,eval-sanitize-30-r1-009,9.0291,0.0206,eval-sanitize-30-r1-009-pc7f7,9.0367,0.0076,9.1137,0.077,kind-worker4,0.1134,0,0,0,0,0,0,none,False,nan,nan,,9.9344,21.2329,nan,0.8208,11.2985,12.2327,Succeeded,Complete,False
10,eval-sanitize-30-r1-010,issuer1,x01,2,"[""d01""]",1,10.0,10.0002,10.0845,0.0002,0.0843,201,True,10.0884,10.1144,23.1038,nan,eval-sanitize-30-r1-010,10.105,0.0205,eval-sanitize-30-r1-010-svwsc,10.1123,0.0073,10.2186,0.1063,kind-worker,0.2184,0,0,0,0,0,0,none,False,nan,nan,,11.0652,22.2257,nan,0.8466,11.1604,12.2254,Succeeded,Complete,False
11,eval-sanitize-30-r1-011,issuer9,x09,3,"[""d09""]",1,11.0,11.0004,11.0656,0.0004,0.0652,201,True,11.0695,11.0939,24.0704,nan,eval-sanitize-30-r1-011,11.0837,0.018,eval-sanitize-30-r1-011-qxx7w,11.0909,0.0072,11.1195,0.0286,kind-worker,0.1191,0,0,0,0,0,0,none,False,nan,nan,,12.0396,23.1489,nan,0.9201,11.1093,12.1485,Succeeded,Complete,False
12,eval-sanitize-30-r1-012,issuer7,x07,5,"[""d07""]",1,12.0,12.0004,12.0323,0.0004,0.0319,201,True,12.0397,12.0604,26.012,nan,eval-sanitize-30-r1-012,12.0564,0.0241,eval-sanitize-30-r1-012-g8mbv,12.064,0.0076,12.1768,0.1128,kind-worker4,0.1764,0,0,0,0,0,0,none,False,nan,nan,,12.9419,24.0521,nan,0.7651,11.1102,12.0517,Succeeded,Complete,False
13,eval-sanitize-30-r1-013,issuer10,x10,4,"[""d10""]",1,13.0,13.0001,13.058,0.0001,0.0579,201,True,13.0617,13.0817,26.9805,nan,eval-sanitize-30-r1-013,13.0762,0.0181,eval-sanitize-30-r1-013-4nkgc,13.0855,0.0093,13.1101,0.0246,kind-worker5,0.11,0,0,0,0,0,0,none,False,nan,nan,,13.9039,25.0524,nan,0.7939,11.1485,12.0523,Succeeded,Complete,False
14,eval-sanitize-30-r1-014,issuer6,x06,5,"[""d06""]",1,14.0,14.0002,14.0074,0.0002,0.0073,201,True,14.0114,14.0309,27.9996,nan,eval-sanitize-30-r1-014,14.0275,0.0201,eval-sanitize-30-r1-014-5rw97,14.0343,0.0067,14.0446,0.0103,kind-worker3,0.0445,0,0,0,0,0,0,none,False,nan,nan,,14.9469,26.1779,nan,0.9022,11.231,12.1777,Succeeded,Complete,False
15,eval-sanitize-30-r1-015,issuer10,x10,4,"[""d10""]",1,15.0,15.0003,15.0089,0.0003,0.0086,201,True,15.0877,15.1097,55.1579,nan,eval-sanitize-30-r1-015,15.1041,0.0952,eval-sanitize-30-r1-015-drsz8,15.1112,0.007,42.4393,27.3281,kind-worker2,27.439,1,0,1,0,0,6,taint,True,15.1182,27.3211,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",42.9757,54.1682,nan,0.5364,11.1925,39.1679,Succeeded,Complete,False
16,eval-sanitize-30-r1-016,issuer9,x09,3,"[""d09""]",1,16.0,16.0012,16.0133,0.0012,0.012,201,True,16.0195,16.0426,66.0995,nan,eval-sanitize-30-r1-016,16.0339,0.0206,eval-sanitize-30-r1-016-2kbsj,16.0407,0.0068,44.2105,28.1698,kind-worker,28.2092,4,3,4,0,0,6,mixed,True,16.0464,28.1641,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",45.0657,56.3576,nan,0.8552,11.2919,40.3563,Succeeded,Complete,False
17,eval-sanitize-30-r1-017,issuer7,x07,5,"[""d07""]",1,17.0,17.0003,17.0195,0.0003,0.0192,201,True,17.0314,17.0922,63.3053,nan,eval-sanitize-30-r1-017,17.0482,0.0287,eval-sanitize-30-r1-017-2hl5m,17.0557,0.0075,42.4575,25.4018,kind-worker2,25.4572,1,0,1,0,0,6,taint,True,17.0626,25.3949,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",44.0064,55.4009,nan,1.5489,11.3945,38.4006,Succeeded,Complete,False
18,eval-sanitize-30-r1-018,issuer7,x07,5,"[""d07""]",1,18.0,18.0003,18.0763,0.0003,0.0759,201,True,18.0809,18.1007,56.097,nan,eval-sanitize-30-r1-018,18.0955,0.0192,eval-sanitize-30-r1-018-88hxh,18.103,0.0075,42.4618,24.3588,kind-worker2,24.4615,1,0,1,0,0,6,taint,True,18.1096,24.3522,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",43.9879,54.1336,nan,1.5261,10.1457,36.1333,Succeeded,Complete,False
19,eval-sanitize-30-r1-019,issuer3,x03,5,"[""d03""]",1,19.0,19.0003,19.0128,0.0003,0.0125,201,True,19.016,19.0371,67.0065,nan,eval-sanitize-30-r1-019,19.0319,0.0191,eval-sanitize-30-r1-019-vcvjg,19.0413,0.0094,45.816,26.7746,kind-worker5,26.8157,6,5,6,0,0,6,mixed,True,19.0466,26.7693,"0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.",46.9778,58.2156,nan,1.1618,11.2378,39.2153,Succeeded,Complete,False
