t_recv,kind,type,name,detail
0.0242,Node,ADDED,kind-control-plane,taints=1
0.0307,Node,ADDED,kind-worker,taints=0
0.0313,TaskRequest,ADDED,eval-smoke-r0-0,phase=None job=None
0.0335,Node,ADDED,kind-worker2,taints=0
0.0353,Node,ADDED,kind-worker3,taints=0
0.0377,Node,ADDED,kind-worker4,taints=0
0.0402,Node,ADDED,kind-worker5,taints=0
0.0404,TaskRequest,MODIFIED,eval-smoke-r0-0,phase=Pending job=None
0.0566,Job,ADDED,eval-smoke-r0-0,
0.0634,TaskRequest,MODIFIED,eval-smoke-r0-0,phase=Scheduled job=None
0.0659,Pod,ADDED,eval-smoke-r0-0-hmcxb,phase=Pending node=None
0.071,Job,MODIFIED,eval-smoke-r0-0,
0.0755,TaskRequest,MODIFIED,eval-smoke-r0-0,phase=Scheduled job=None
0.0762,Event,ADDED,eval-smoke-r0-0.18d3c4118440f51a,reason=SuccessfulCreate count=1 msg=Created pod: eval-smoke-r0-0-hmcxb
0.0823,Job,MODIFIED,eval-smoke-r0-0,
0.0854,Pod,MODIFIED,eval-smoke-r0-0-hmcxb,phase=Pending node=kind-worker2
0.09,Event,ADDED,eval-smoke-r0-0-hmcxb.18d3c4118575708b,reason=Scheduled count=None msg=Successfully assigned compute/eval-smoke-r0-0-hmcxb to kind-worker2
0.0973,Pod,MODIFIED,eval-smoke-r0-0-hmcxb,phase=Pending node=kind-worker2
0.1121,Job,MODIFIED,eval-smoke-r0-0,
0.1457,Node,MODIFIED,kind-worker2,taints=0
0.1589,Node,MODIFIED,kind-worker2,taints=0
0.5187,Event,ADDED,eval-smoke-r0-0-hmcxb.18d3c4119f0c4748,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5361,Event,ADDED,eval-smoke-r0-0-hmcxb.18d3c411a0180900,reason=Created count=1 msg=Created container: task
0.5699,Event,ADDED,eval-smoke-r0-0-hmcxb.18d3c411a207ca3a,reason=Started count=1 msg=Started container task
0.765,Pod,MODIFIED,eval-smoke-r0-0-hmcxb,phase=Running node=kind-worker2
1.0216,TaskRequest,ADDED,eval-smoke-r0-1,phase=None job=None
1.0254,TaskRequest,MODIFIED,eval-smoke-r0-1,phase=Pending job=None
1.0419,Job,ADDED,eval-smoke-r0-1,
1.0485,Pod,ADDED,eval-smoke-r0-1-hwvfv,phase=Pending node=None
1.0487,TaskRequest,MODIFIED,eval-smoke-r0-1,phase=Scheduled job=None
