t_recv,kind,type,name,detail
0.0249,Node,ADDED,kind-control-plane,taints=1
0.0286,Node,ADDED,kind-worker,taints=0
0.0299,Node,ADDED,kind-worker2,taints=0
0.0311,Node,ADDED,kind-worker3,taints=0
0.0323,Node,ADDED,kind-worker4,taints=0
0.0339,Node,ADDED,kind-worker5,taints=0
0.0485,TaskRequest,ADDED,eval-wallcheck-r0-00,phase=None job=None
0.0568,TaskRequest,MODIFIED,eval-wallcheck-r0-00,phase=Pending job=None
0.078,Job,ADDED,eval-wallcheck-r0-00,
0.0847,TaskRequest,MODIFIED,eval-wallcheck-r0-00,phase=Scheduled job=None
0.089,Pod,ADDED,eval-wallcheck-r0-00-pwbpx,phase=Pending node=None
0.0924,Job,MODIFIED,eval-wallcheck-r0-00,
0.0972,TaskRequest,MODIFIED,eval-wallcheck-r0-00,phase=Scheduled job=None
0.1003,Event,ADDED,eval-wallcheck-r0-00.18d3c564ff4919a7,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-00-pwbpx
0.1065,Pod,MODIFIED,eval-wallcheck-r0-00-pwbpx,phase=Pending node=kind-worker4
0.1145,Event,ADDED,eval-wallcheck-r0-00-pwbpx.18d3c565005648f2,reason=Scheduled count=None msg=Successfully assigned compute/eval-wallcheck-r0-00-pwbpx to kind-worker4
0.1186,Pod,MODIFIED,eval-wallcheck-r0-00-pwbpx,phase=Pending node=kind-worker4
0.12,Node,MODIFIED,kind-worker4,taints=0
0.1412,Node,MODIFIED,kind-worker4,taints=0
0.5217,Event,ADDED,eval-wallcheck-r0-00-pwbpx.18d3c56518d81d1b,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.5413,Event,ADDED,eval-wallcheck-r0-00-pwbpx.18d3c5651a0178b0,reason=Created count=1 msg=Created container: task
0.6073,Event,ADDED,eval-wallcheck-r0-00-pwbpx.18d3c5651df5f3e1,reason=Started count=1 msg=Started container task
0.9468,Pod,MODIFIED,eval-wallcheck-r0-00-pwbpx,phase=Running node=kind-worker4
1.0138,TaskRequest,ADDED,eval-wallcheck-r0-01,phase=None job=None
1.019,TaskRequest,MODIFIED,eval-wallcheck-r0-01,phase=Pending job=None
1.0368,Job,ADDED,eval-wallcheck-r0-01,
1.0413,TaskRequest,MODIFIED,eval-wallcheck-r0-01,phase=Scheduled job=None
1.0447,Pod,ADDED,eval-wallcheck-r0-01-nd9n9,phase=Pending node=None
1.0468,Job,MODIFIED,eval-wallcheck-r0-01,
1.0506,Event,ADDED,eval-wallcheck-r0-01.18d3c56538434932,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-01-nd9n9
1.0507,TaskRequest,MODIFIED,eval-wallcheck-r0-01,phase=Scheduled job=None
1.0634,Pod,MODIFIED,eval-wallcheck-r0-01-nd9n9,phase=Pending node=kind-worker2
1.0661,Event,ADDED,eval-wallcheck-r0-01-nd9n9.18d3c56539523986,reason=Scheduled count=None msg=Successfully assigned compute/eval-wallcheck-r0-01-nd9n9 to kind-worker2
1.0724,Pod,MODIFIED,eval-wallcheck-r0-01-nd9n9,phase=Pending node=kind-worker2
1.0746,Node,MODIFIED,kind-worker2,taints=0
1.086,Node,MODIFIED,kind-worker2,taints=0
1.094,Job,MODIFIED,eval-wallcheck-r0-00,
1.103,Job,MODIFIED,eval-wallcheck-r0-00,
1.4865,Event,ADDED,eval-wallcheck-r0-01-nd9n9.18d3c565524b0b54,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
1.5057,Event,ADDED,eval-wallcheck-r0-01-nd9n9.18d3c56553657ee4,reason=Created count=1 msg=Created container: task
1.5406,Event,ADDED,eval-wallcheck-r0-01-nd9n9.18d3c5655581e101,reason=Started count=1 msg=Started container task
2.0175,TaskRequest,ADDED,eval-wallcheck-r0-02,phase=None job=None
2.0227,TaskRequest,MODIFIED,eval-wallcheck-r0-02,phase=Pending job=None
2.0388,Job,ADDED,eval-wallcheck-r0-02,
2.0427,TaskRequest,MODIFIED,eval-wallcheck-r0-02,phase=Scheduled job=None
2.0473,Pod,ADDED,eval-wallcheck-r0-02-vg94s,phase=Pending node=None
2.0488,Job,MODIFIED,eval-wallcheck-r0-02,
2.0517,Job,MODIFIED,eval-wallcheck-r0-01,
2.0523,Event,ADDED,eval-wallcheck-r0-02.18d3c56573de2ba2,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-02-vg94s
2.0524,TaskRequest,MODIFIED,eval-wallcheck-r0-02,phase=Scheduled job=None
2.0603,Job,MODIFIED,eval-wallcheck-r0-01,
2.0639,Pod,MODIFIED,eval-wallcheck-r0-02-vg94s,phase=Pending node=kind-worker
2.0668,Event,ADDED,eval-wallcheck-r0-02-vg94s.18d3c56574e5755c,reason=Scheduled count=None msg=Successfully assigned compute/eval-wallcheck-r0-02-vg94s to kind-worker
2.0732,Pod,MODIFIED,eval-wallcheck-r0-02-vg94s,phase=Pending node=kind-worker
2.0757,Node,MODIFIED,kind-worker,taints=0
2.0861,Node,MODIFIED,kind-worker,taints=0
2.2996,Pod,MODIFIED,eval-wallcheck-r0-01-nd9n9,phase=Running node=kind-worker2
2.4694,Event,ADDED,eval-wallcheck-r0-02-vg94s.18d3c5658cde49ea,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
2.4872,Event,ADDED,eval-wallcheck-r0-02-vg94s.18d3c5658de6e01d,reason=Created count=1 msg=Created container: task
2.5191,Event,ADDED,eval-wallcheck-r0-02-vg94s.18d3c5658fd697d9,reason=Started count=1 msg=Started container task
2.9784,Pod,MODIFIED,eval-wallcheck-r0-02-vg94s,phase=Running node=kind-worker
3.0136,TaskRequest,ADDED,eval-wallcheck-r0-03,phase=None job=None
