task_id, name                , issuer  , context, context_degree, datasets   , replica, t_submit_planned, t_submit_start, t_submit_end, submit_jitter_s, admission_s, admission_status, admitted, t_tr_pending, t_tr_scheduled, t_tr_complete, t_tr_failed, job_name            , t_job_seen, translation_s, pod_name                  , t_pod_seen, pod_creation_s, t_pod_scheduled, scheduling_s, node        , latency_s, n_failed_attempts, n_attempts_wall, n_attempts_taint, n_attempts_other, nodes_wall_first, nodes_taint_first, block_cause, blocked, t_first_rejection, wait_s , first_rejection_msg                                                                                                                                                                                                                                                                            , t_pod_running, t_pod_succeeded, t_pod_failed, startup_s, execution_s, completion_s, final_phase, tr_final_phase, timed_out
      0, eval-wallcheck-r0-00, issuer1 , x01    ,              9, "[""d01""]",       0,              0.0,         0.0062,       0.0487,          0.0062,      0.0425,              201, True    ,       0.0568,         0.0847, 9.0026       , nan        , eval-wallcheck-r0-00,     0.078 ,        0.0292, eval-wallcheck-r0-00-pwbpx,     0.089 ,         0.0111,          0.1065,       0.0175, kind-worker4,    0.1003,                 0,               0,                0,                0,                0,                 0, none       , False  , nan              , nan    ,                                                                                                                                                                                                                                                                                                ,        0.9468,          7.0549, nan         ,    0.8403,      6.1081,       7.0487, Succeeded  , Complete      , False
      1, eval-wallcheck-r0-01, issuer2 , x02    ,              9, "[""d02""]",       0,              1.0,         1.0003,       1.0141,          0.0003,      0.0137,              201, True    ,       1.019 ,         1.0413, 10.3489      , nan        , eval-wallcheck-r0-01,     1.0368,        0.0227, eval-wallcheck-r0-01-nd9n9,     1.0447,         0.0079,          1.0634,       0.0187, kind-worker2,    0.0631,                 0,               0,                0,                0,                0,                 0, none       , False  , nan              , nan    ,                                                                                                                                                                                                                                                                                                ,        2.2996,          8.4558, nan         ,    1.2362,      6.1562,       7.4554, Succeeded  , Complete      , False
      2, eval-wallcheck-r0-02, issuer3 , x03    ,              9, "[""d03""]",       0,              2.0,         2.0002,       2.0174,          0.0002,      0.0173,              201, True    ,       2.0227,         2.0427, 11.0281      , nan        , eval-wallcheck-r0-02,     2.0388,        0.0213, eval-wallcheck-r0-02-vg94s,     2.0473,         0.0086,          2.0639,       0.0166, kind-worker ,    0.0637,                 0,               0,                0,                0,                0,                 0, none       , False  , nan              , nan    ,                                                                                                                                                                                                                                                                                                ,        2.9784,          9.1389, nan         ,    0.9145,      6.1605,       7.1387, Succeeded  , Complete      , False
      3, eval-wallcheck-r0-03, issuer4 , x04    ,              9, "[""d04""]",       0,              3.0,         3.0003,       3.0135,          0.0003,      0.0132,              201, True    ,       3.0189,         3.0429, 12.0191      , nan        , eval-wallcheck-r0-03,     3.0349,        0.0214, eval-wallcheck-r0-03-hrqs8,     3.0428,         0.0079,          3.0656,       0.0228, kind-worker3,    0.0653,                 0,               0,                0,                0,                0,                 0, none       , False  , nan              , nan    ,                                                                                                                                                                                                                                                                                                ,        3.9579,         10.0519, nan         ,    0.8923,      6.094 ,       7.0516, Succeeded  , Complete      , False
      4, eval-wallcheck-r0-04, issuer5 , x05    ,              9, "[""d05""]",       0,              4.0,         4.0001,       4.0124,          0.0001,      0.0124,              201, True    ,       4.0178,         4.0393, 13.0131      , nan        , eval-wallcheck-r0-04,     4.0338,        0.0214, eval-wallcheck-r0-04-qkjkp,     4.0423,         0.0085,          4.1195,       0.0771, kind-worker5,    0.1194,                 0,               0,                0,                0,                0,                 0, none       , False  , nan              , nan    ,                                                                                                                                                                                                                                                                                                ,        4.958 ,         11.1153, nan         ,    0.8386,      6.1573,       7.1153, Succeeded  , Complete      , False
      5, eval-wallcheck-r0-05, issuer6 , x06    ,              9, "[""d06""]",       0,              5.0,         5.0003,       5.015 ,          0.0003,      0.0147,              201, True    ,       5.0204,         5.0452, nan          , nan        , eval-wallcheck-r0-05,     5.037 ,        0.022 , eval-wallcheck-r0-05-l8vqq,     5.0451,         0.008 ,         16.8178,      11.7728, kind-worker ,   11.8175,                 5,               4,                5,                0,                5,                 1, mixed      , True   , 5.1255           , 11.6923, "0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.",       18.0347,         24.2444, nan         ,    1.2169,      6.2097,      19.2441, Succeeded  , Scheduled     , False
      6, eval-wallcheck-r0-06, issuer7 , x07    ,              9, "[""d07""]",       0,              6.0,         6.0003,       6.0136,          0.0003,      0.0134,              201, True    ,       6.023 ,         6.0472, nan          , nan        , eval-wallcheck-r0-06,     6.0408,        0.0271, eval-wallcheck-r0-06-jkmmc,     6.0525,         0.0117,         16.8159,      10.7634, kind-worker ,   10.8156,                 4,               3,                4,                0,                5,                 1, mixed      , True   , 6.1204           , 10.6955, "0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.",       18.0271,         24.257 , nan         ,    1.2112,      6.2299,      18.2567, Succeeded  , Scheduled     , False
      7, eval-wallcheck-r0-07, issuer8 , x08    ,              9, "[""d08""]",       0,              7.0,         7.0001,       7.0149,          0.0001,      0.0148,              201, True    ,       7.0193,         7.0426, nan          , nan        , eval-wallcheck-r0-07,     7.0374,        0.0225, eval-wallcheck-r0-07-k7drx,     7.046 ,         0.0086,         16.8195,       9.7735, kind-worker ,    9.8194,                 5,               4,                5,                0,                5,                 1, mixed      , True   , 7.1214           , 9.6981 , "0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.",       18.0108,         24.2628, nan         ,    1.1913,      6.252 ,      17.2627, Succeeded  , Scheduled     , False
      8, eval-wallcheck-r0-08, issuer9 , x09    ,              9, "[""d09""]",       0,              8.0,         8.0004,       8.1122,          0.0004,      0.1119,              201, True    ,       8.1178,         8.1404, nan          , nan        , eval-wallcheck-r0-08,     8.1333,        0.021 , eval-wallcheck-r0-08-h29xr,     8.1421,         0.0089,         16.8133,       8.6712, kind-worker ,    8.8129,                 4,               3,                4,                0,                5,                 1, mixed      , True   , 8.4152           , 8.3981 , "0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.",       18.0189,         24.2504, nan         ,    1.2056,      6.2315,      16.25  , Succeeded  , Scheduled     , False
      9, eval-wallcheck-r0-09, issuer10, x10    ,              9, "[""d10""]",       0,              9.0,         9.0004,       9.1082,          0.0004,      0.1078,              201, True    ,       9.1138,         9.139 , nan          , nan        , eval-wallcheck-r0-09,     9.1314,        0.0231, eval-wallcheck-r0-09-ftzjf,     9.14  ,         0.0087,         16.8207,       7.6807, kind-worker ,    7.8203,                 5,               4,                5,                0,                5,                 1, mixed      , True   , 9.3213           , 7.4994 , "0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod.",       18.0411,         24.2012, nan         ,    1.2204,      6.1601,      15.2008, Succeeded  , Scheduled     , False
