task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-sanitize-30-r1-000,issuer6,x06,7,"[""d06""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-sanitize-30-r1-001,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-sanitize-30-r1-002,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-sanitize-30-r1-003,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-sanitize-30-r1-004,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-sanitize-30-r1-005,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-sanitize-30-r1-006,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-sanitize-30-r1-007,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-sanitize-30-r1-008,issuer9,x09,6,"[""d09""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-sanitize-30-r1-009,issuer9,x09,6,"[""d09""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-sanitize-30-r1-010,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-sanitize-30-r1-011,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-sanitize-30-r1-012,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-sanitize-30-r1-013,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-sanitize-30-r1-014,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-sanitize-30-r1-015,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-sanitize-30-r1-016,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-sanitize-30-r1-017,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-sanitize-30-r1-018,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-sanitize-30-r1-019,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-sanitize-30-r1-020,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-sanitize-30-r1-021,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-sanitize-30-r1-022,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-sanitize-30-r1-023,issuer4,x04,4,"[""d04""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-sanitize-30-r1-024,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-sanitize-30-r1-025,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-sanitize-30-r1-026,issuer4,x04,4,"[""d04""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-sanitize-30-r1-027,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-sanitize-30-r1-028,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-sanitize-30-r1-029,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,29.0
30,eval-sanitize-30-r1-030,issuer9,x09,6,"[""d09""]","{""evalprop"": 1}",evalgeo,30.0
31,eval-sanitize-30-r1-031,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,31.0
32,eval-sanitize-30-r1-032,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,32.0
33,eval-sanitize-30-r1-033,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,33.0
34,eval-sanitize-30-r1-034,issuer4,x04,4,"[""d04""]","{""evalprop"": 1}",evalgeo,34.0
35,eval-sanitize-30-r1-035,issuer6,x06,7,"[""d06""]","{""evalprop"": 1}",evalgeo,35.0
36,eval-sanitize-30-r1-036,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,36.0
37,eval-sanitize-30-r1-037,issuer2,x02,4,"[""d02""]","{""evalprop"": 1}",evalgeo,37.0
38,eval-sanitize-30-r1-038,issuer6,x06,7,"[""d06""]","{""evalprop"": 1}",evalgeo,38.0
39,eval-sanitize-30-r1-039,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,39.0
40,eval-sanitize-30-r1-040,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,40.0
41,eval-sanitize-30-r1-041,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,41.0
42,eval-sanitize-30-r1-042,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,42.0
43,eval-sanitize-30-r1-043,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,43.0
44,eval-sanitize-30-r1-044,issuer6,x06,7,"[""d06""]","{""evalprop"": 1}",evalgeo,44.0
45,eval-sanitize-30-r1-045,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,45.0
46,eval-sanitize-30-r1-046,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,46.0
47,eval-sanitize-30-r1-047,issuer5,x05,3,"[""d05""]","{""evalprop"": 1}",evalgeo,47.0
48,eval-sanitize-30-r1-048,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,48.0
49,eval-sanitize-30-r1-049,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,49.0
50,eval-sanitize-30-r1-050,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,50.0
51,eval-sanitize-30-r1-051,issuer3,x03,8,"[""d03""]","{""evalprop"": 1}",evalgeo,51.0
52,eval-sanitize-30-r1-052,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,52.0
53,eval-sanitize-30-r1-053,issuer9,x09,6,"[""d09""]","{""evalprop"": 1}",evalgeo,53.0
54,eval-sanitize-30-r1-054,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,54.0
55,eval-sanitize-30-r1-055,issuer10,x10,2,"[""d10""]","{""evalprop"": 1}",evalgeo,55.0
56,eval-sanitize-30-r1-056,issuer7,x07,2,"[""d07""]","{""evalprop"": 1}",evalgeo,56.0
